itemNumber,price
143211299,24.99
143210870,24.99
143209906,20.99
143209812,28.99
143208275,25.99
143161178,21.99
143161093,45.99
143161061,22.99
143159929,27.99
143157929,26.99
143153560,26.99
143153045,26.99
143152743,13.99
143152496,53.99
143151995,44.99
143151805,57.99
143151621,43.99
143151538,49.99
143151250,27.99
143150280,26.99
143150018,25.99
143149732,27.99
143149630,20.99
143149459,25.99
143147927,21.99
143144914,31.99
143143152,42.99
143136811,23.99
143135557,22.99
143129683,12.99
143129304,20.99
143127460,34.99
143126449,25.99
143125311,20.99
143123741,23.99
143123254,23.99
143121593,20.99
143120850,16.99
143119290,21.99
143073087,73.99
143072895,24.99
143072798,28.99
143072044,20.99
143071862,21.99
143069957,23.99
143069195,22.99
143066064,21.99
143065875,18.99
143065561,20.99
143064443,25.99
143063208,21.99
143059914,12.99
143059698,43.99
143057362,35.99
143057320,15.99
143056690,24.99
143055358,17.99
143055249,25.99
143055184,21.99
143054760,23.99
143054630,46.99
143054312,26.99
143053845,30.99
143053797,45.99
143053712,24.99
143053630,34.99
143052397,23.99
143049584,30.99
143048885,26.99
143048764,18.99
143047799,34.99
143047162,22.99
143046806,22.99
143046755,21.99
143046299,34.99
143045854,14.99
143045621,20.99
143044918,35.99
143044666,30.99
143044580,25.99
143042833,46.99
143041934,42.99
143041804,43.99
143041197,23.99
143040762,26.99
143040689,27.99
143040637,37.99
143039989,54.99
143039638,24.99
143039618,23.99
143039224,46.99
143039185,49.99
143037107,54.99
143036900,44.99
143035503,29.99
142995614,34.99
142995521,21.99
142977773,23.99
142965656,25.99
142895002,38.99
142886157,27.99
142886049,29.99
142878795,20.99
142878209,26.99
142874531,27.99
142874419,37.99
142873661,20.99
142872003,40.99
142870555,18.99
142867537,46.99
142819894,37.99
142819289,22.99
142801906,20.99
142792291,23.99
142790205,26.99
142788780,25.99
142788723,23.99
142787069,17.99
142783091,28.99
142734554,32.99
142730336,25.99
142646904,19.99
143814544,34.99
143810929,26.99
143808279,39.99
143799233,18.99
143798933,19.99
143786391,15.99
143786341,9.99
143779840,25.99
143547098,18.99
143290936,30.99
143250427,50.99
143248285,26.99
143242673,20.99
143242387,20.99
143240700,44.99
143228472,34.99
143217326,51.99
143215380,40.99
143215300,51.99
143214406,23.99
143214134,28.99
143211116,27.99
143210313,38.99
143160198,18.99
143159067,21.99
143158983,39.99
143158110,25.99
143157846,20.99
143155902,23.99
143155258,50.99
143155223,47.99
143152427,24.99
143151257,26.99
143151084,21.99
143150390,39.99
143147817,27.99
143144940,22.99
143144593,27.99
143143245,47.99
143143006,22.99
143141998,20.99
143137033,18.99
143129702,39.99
143129500,17.99
143129269,16.99
143124635,49.99
143124287,24.99
143122929,29.99
143122324,22.99
143120623,28.99
143120404,32.99
143118875,55.99
143073340,25.99
143072085,34.99
143071896,22.99
143071431,25.99
143070828,20.99
143070378,37.99
143069433,24.99
143065132,45.99
143065036,21.99
143064865,28.99
143054928,54.99
143054571,31.99
143053695,29.99
143053140,30.99
143047433,34.99
143045209,42.99
143044734,42.99
143044518,35.99
143042692,18.99
143042070,32.99
143041854,41.99
143041753,33.99
143039872,54.99
143039717,31.99
143037083,17.99
142988145,22.99
142982957,15.99
142966135,23.99
142965397,26.99
142892950,51.99
142891848,21.99
142880602,25.99
142880552,28.99
142880299,46.99
142880262,26.99
142880042,26.99
142879375,24.99
142878461,27.99
142877846,24.99
142877786,45.99
142877615,32.99
142876125,24.99
142874610,23.99
142873460,57.99
142872250,17.99
142870801,21.99
142868947,26.99
142866868,23.99
142866467,31.99
142866417,12.99
142865949,33.99
142862683,27.99
142817942,24.99
142813662,40.99
142813444,35.99
142798282,27.99
142797362,67.99
142790744,92.99
142788607,26.99
142788593,24.99
142786989,25.99
142786855,25.99
142783436,14.99
142781964,50.99
142729515,30.99
142702913,21.99
143505010,29.99
142994860,20.99
142966370,28.99
142888148,39.99
143138783,22.99
143130438,33.99
143066707,27.99
143065646,23.99
143052948,48.99
143052616,38.99
143050022,10.99
143042325,25.99
143039940,23.99
142965860,33.99
142965757,27.99
142893475,24.99
142891978,24.99
142884802,24.99
142880171,32.99
142879034,21.99
142878016,35.99
142867826,36.99
143837804,28.99
143797261,22.99
143795598,16.99
143785488,11.99
143749345,22.99
143743777,36.99
143743606,31.99
143736556,21.99
143736509,17.99
143735626,15.99
143685378,17.99
143680088,22.99
143677318,28.99
143671399,24.99
143671082,55.99
143662385,66.99
143656666,28.99
143656462,18.99
143648610,23.99
143545897,25.99
143136265,22.99
143130661,32.99
143124822,52.99
143063943,22.99
143063676,45.99
143062525,28.99
143053347,58.99
143051568,22.99
143046846,21.99
143043441,44.99
143043312,40.99
142991395,16.99
142986433,26.99
142890314,27.99
142885718,55.99
142880059,23.99
142875014,22.99
142874492,31.99
142871572,21.99
142870988,52.99
142870706,22.99
142870685,31.99
142869321,22.99
142869072,22.99
142868893,20.99
142866380,33.99
142865465,22.99
142862778,29.99
142862185,22.99
142799323,22.99
142786356,20.99
143766411,46.99
143753918,33.99
143744964,27.99
143734141,20.99
143733771,23.99
143733160,24.99
143731197,71.99
143673963,51.99
143661095,35.99
143661054,34.99
143623383,36.99
143622897,16.99
143622045,27.99
143621973,15.99
143620772,25.99
143620719,20.99
143600757,40.99
143600613,63.99
143600561,79.99
143589922,21.99
143589575,20.99
143589230,28.99
143587930,25.99
143585246,45.99
143582259,22.99
143576917,52.99
143576872,29.99
143576683,52.99
143576291,34.99
143573966,51.99
143572875,41.99
143544039,49.99
143543565,51.99
143542761,44.99
143539844,50.99
143539725,84.99
143486883,24.99
143121508,21.99
143073841,18.99
143045598,31.99
143041642,57.99
142880324,51.99
142878993,22.99
142873426,25.99
142867777,28.99
142801710,27.99
143796081,31.99
143793543,19.99
143744399,39.99
143744359,25.99
143744343,53.99
143738539,56.99
143738513,35.99
143738489,38.99
143738466,37.99
